日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,986000.66,-1.3999%,-1.3999%
2022-01-07,999299.12,-0.0701%,1.3487%
2022-01-10,999505.12,-0.0495%,0.0206%
2022-01-11,1001107.12,0.1107%,0.1603%
2022-01-12,1000480.12,0.0480%,-0.0626%
2022-01-13,997008.91,-0.2991%,-0.3470%
2022-01-14,974866.17,-2.5134%,-2.2209%
2022-01-17,979728.74,-2.0271%,0.4988%
2022-01-18,974312.68,-2.5687%,-0.5528%
2022-01-19,957787.94,-4.2212%,-1.6960%
2022-01-20,968267.51,-3.1732%,1.0941%
2022-01-21,959242.89,-4.0757%,-0.9320%
2022-01-24,961171.38,-3.8829%,0.2010%
2022-01-25,945133.38,-5.4867%,-1.6686%
2022-01-26,952698.38,-4.7302%,0.8004%
2022-01-27,941042.42,-5.8958%,-1.2235%
2022-01-28,922360.80,-7.7639%,-1.9852%
2022-02-07,934660.45,-6.5340%,1.3335%
2022-02-08,928876.45,-7.1124%,-0.6188%
2022-02-09,918035.98,-8.1964%,-1.1671%
2022-02-10,942304.89,-5.7695%,2.6436%
2022-02-11,958951.89,-4.1048%,1.7666%
2022-02-14,943230.89,-5.6769%,-1.6394%
2022-02-15,927132.89,-7.2867%,-1.7067%
2022-02-16,931373.71,-6.8626%,0.4574%
2022-02-17,932706.71,-6.7293%,0.1431%
2022-02-18,944639.71,-5.5360%,1.2794%
2022-02-21,954157.71,-4.5842%,1.0076%
2022-02-22,953032.71,-4.6967%,-0.1179%
2022-02-23,933110.71,-6.6889%,-2.0904%
2022-02-24,929328.30,-7.0672%,-0.4054%
2022-02-25,912960.30,-8.7040%,-1.7613%
2022-02-28,910921.04,-8.9079%,-0.2234%
2022-03-01,910921.04,-8.9079%,0.0000%
2022-03-02,910921.04,-8.9079%,0.0000%
2022-03-03,910921.04,-8.9079%,0.0000%
2022-03-04,917350.52,-8.2649%,0.7058%
2022-03-07,914494.52,-8.5505%,-0.3113%
2022-03-08,894502.52,-10.5497%,-2.1861%
2022-03-09,912310.52,-8.7689%,1.9908%
2022-03-10,906430.52,-9.3569%,-0.6445%
2022-03-11,907219.75,-9.2780%,0.0871%
2022-03-14,907219.75,-9.2780%,0.0000%
2022-03-15,907219.75,-9.2780%,0.0000%
2022-03-16,907219.75,-9.2780%,0.0000%
2022-03-17,907219.75,-9.2780%,0.0000%
2022-03-18,907219.75,-9.2780%,0.0000%
2022-03-21,907219.75,-9.2780%,0.0000%
2022-03-22,907219.75,-9.2780%,0.0000%
2022-03-23,907219.75,-9.2780%,0.0000%
2022-03-24,907219.75,-9.2780%,0.0000%
2022-03-25,910912.11,-8.9088%,0.4070%
2022-03-28,944776.11,-5.5224%,3.7176%
2022-03-29,959052.11,-4.0948%,1.5110%
2022-03-30,941622.11,-5.8378%,-1.8174%
2022-03-31,953906.11,-4.6094%,1.3046%
2022-04-01,949922.11,-5.0078%,-0.4177%
2022-04-06,944444.11,-5.5556%,-0.5767%
2022-04-07,954072.11,-4.5928%,1.0194%
2022-04-08,967186.11,-3.2814%,1.3745%
2022-04-11,979304.11,-2.0696%,1.2529%
2022-04-12,973494.11,-2.6506%,-0.5933%
2022-04-13,990758.11,-0.9242%,1.7734%
2022-04-14,995572.11,-0.4428%,0.4859%
2022-04-15,974822.11,-2.5178%,-2.0842%
2022-04-18,957226.11,-4.2774%,-1.8050%
2022-04-19,958978.00,-4.1022%,0.1830%
2022-04-20,958978.00,-4.1022%,0.0000%
2022-04-21,958978.00,-4.1022%,0.0000%
2022-04-22,958978.00,-4.1022%,0.0000%
