日期,总资产(元),累计收益率,每日收益率
2024-08-01,200000.00,0.0000%,0.0000%
2024-08-02,200000.00,0.0000%,0.0000%
2024-08-05,200000.00,0.0000%,0.0000%
2024-08-06,200000.00,0.0000%,0.0000%
2024-08-07,200000.00,0.0000%,0.0000%
2024-08-08,200000.00,0.0000%,0.0000%
2024-08-09,200000.00,0.0000%,0.0000%
2024-08-12,200000.00,0.0000%,0.0000%
2024-08-13,200000.00,0.0000%,0.0000%
2024-08-14,200000.00,0.0000%,0.0000%
2024-08-15,200000.00,0.0000%,0.0000%
2024-08-16,200000.00,0.0000%,0.0000%
2024-08-19,200000.00,0.0000%,0.0000%
2024-08-20,200000.00,0.0000%,0.0000%
2024-08-21,200000.00,0.0000%,0.0000%
2024-08-22,200000.00,0.0000%,0.0000%
2024-08-23,200000.00,0.0000%,0.0000%
2024-08-26,200000.00,0.0000%,0.0000%
2024-08-27,200000.00,0.0000%,0.0000%
2024-08-28,200000.00,0.0000%,0.0000%
2024-08-29,200000.00,0.0000%,0.0000%
2024-08-30,200000.00,0.0000%,0.0000%
2024-09-02,200000.00,0.0000%,0.0000%
2024-09-03,200000.00,0.0000%,0.0000%
2024-09-04,200000.00,0.0000%,0.0000%
2024-09-05,200000.00,0.0000%,0.0000%
2024-09-06,200000.00,0.0000%,0.0000%
2024-09-09,200000.00,0.0000%,0.0000%
2024-09-10,200000.00,0.0000%,0.0000%
2024-09-11,200000.00,0.0000%,0.0000%
2024-09-12,200000.00,0.0000%,0.0000%
2024-09-13,200000.00,0.0000%,0.0000%
2024-09-18,200000.00,0.0000%,0.0000%
2024-09-19,200000.00,0.0000%,0.0000%
2024-09-20,200000.00,0.0000%,0.0000%
2024-09-23,200000.00,0.0000%,0.0000%
2024-09-24,200000.00,0.0000%,0.0000%
2024-09-25,200000.00,0.0000%,0.0000%
2024-09-26,200000.00,0.0000%,0.0000%
2024-09-27,200000.00,0.0000%,0.0000%
2024-09-30,200000.00,0.0000%,0.0000%
2024-10-08,200000.00,0.0000%,0.0000%
2024-10-09,200000.00,0.0000%,0.0000%
2024-10-10,200000.00,0.0000%,0.0000%
2024-10-11,200000.00,0.0000%,0.0000%
2024-10-14,200000.00,0.0000%,0.0000%
2024-10-15,200000.00,0.0000%,0.0000%
2024-10-16,200000.00,0.0000%,0.0000%
2024-10-17,200000.00,0.0000%,0.0000%
2024-10-18,200000.00,0.0000%,0.0000%
2024-10-21,200000.00,0.0000%,0.0000%
2024-10-22,200000.00,0.0000%,0.0000%
2024-10-23,200000.00,0.0000%,0.0000%
2024-10-24,200000.00,0.0000%,0.0000%
2024-10-25,200000.00,0.0000%,0.0000%
2024-10-28,200000.00,0.0000%,0.0000%
2024-10-29,200000.00,0.0000%,0.0000%
2024-10-30,200000.00,0.0000%,0.0000%
