日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-02-07,1000000.00,0.0000%,0.0000%
2022-02-08,1000000.00,0.0000%,0.0000%
2022-02-09,1000000.00,0.0000%,0.0000%
2022-02-10,1000000.00,0.0000%,0.0000%
2022-02-11,1000000.00,0.0000%,0.0000%
2022-02-14,1009543.52,0.9544%,0.9544%
2022-02-15,1012586.52,1.2587%,0.3014%
2022-02-16,1011923.52,1.1924%,-0.0655%
2022-02-17,1008574.52,0.8575%,-0.3310%
2022-02-18,1011226.52,1.1227%,0.2629%
2022-02-21,1011566.52,1.1567%,0.0336%
2022-02-22,1001706.52,0.1707%,-0.9747%
2022-02-23,1006466.52,0.6467%,0.4752%
2022-02-24,993699.52,-0.6300%,-1.2685%
2022-02-25,996742.52,-0.3257%,0.3062%
2022-02-28,995926.52,-0.4073%,-0.0819%
2022-03-01,1001349.52,0.1350%,0.5445%
2022-03-02,994566.52,-0.5433%,-0.6774%
2022-03-03,982445.52,-1.7554%,-1.2187%
2022-03-04,977994.62,-2.2005%,-0.4530%
2022-03-07,977994.62,-2.2005%,0.0000%
2022-03-08,977994.62,-2.2005%,0.0000%
2022-03-09,977994.62,-2.2005%,0.0000%
2022-03-10,977994.62,-2.2005%,0.0000%
2022-03-11,982605.45,-1.7395%,0.4715%
2022-03-14,972155.45,-2.7845%,-1.0635%
2022-03-15,954827.45,-4.5173%,-1.7824%
2022-03-16,965045.29,-3.4955%,1.0701%
2022-03-17,967264.37,-3.2736%,0.2299%
2022-03-18,980544.37,-1.9456%,1.3729%
2022-03-21,969664.37,-3.0336%,-1.1096%
2022-03-22,975424.37,-2.4576%,0.5940%
2022-03-23,977264.37,-2.2736%,0.1886%
2022-03-24,977344.37,-2.2656%,0.0082%
2022-03-25,972624.37,-2.7376%,-0.4829%
2022-03-28,971584.37,-2.8416%,-0.1069%
2022-03-29,971264.37,-2.8736%,-0.0329%
2022-03-30,981024.37,-1.8976%,1.0049%
2022-03-31,985584.37,-1.4416%,0.4648%
2022-04-01,987984.37,-1.2016%,0.2435%
2022-04-06,990304.37,-0.9696%,0.2348%
2022-04-07,986064.37,-1.3936%,-0.4282%
2022-04-08,988624.37,-1.1376%,0.2596%
2022-04-11,978384.37,-2.1616%,-1.0358%
2022-04-12,976784.37,-2.3216%,-0.1635%
2022-04-13,977184.37,-2.2816%,0.0410%
2022-04-14,977264.37,-2.2736%,0.0082%
2022-04-15,985824.37,-1.4176%,0.8759%
2022-04-18,958304.37,-4.1696%,-2.7916%
2022-04-19,947984.37,-5.2016%,-1.0769%
2022-04-20,939984.37,-6.0016%,-0.8439%
2022-04-21,941424.37,-5.8576%,0.1532%
2022-04-22,951184.37,-4.8816%,1.0367%
