日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-01-31,1000000.00,0.0000%,0.0000%
2022-02-01,1000000.00,0.0000%,0.0000%
2022-02-02,1000000.00,0.0000%,0.0000%
2022-02-03,1000000.00,0.0000%,0.0000%
2022-02-04,1000000.00,0.0000%,0.0000%
2022-02-08,1000000.00,0.0000%,0.0000%
2022-02-09,1000000.00,0.0000%,0.0000%
2022-02-10,1000000.00,0.0000%,0.0000%
2022-02-11,1000000.00,0.0000%,0.0000%
2022-02-14,1000000.00,0.0000%,0.0000%
2022-02-15,1000000.00,0.0000%,0.0000%
2022-02-16,1000000.00,0.0000%,0.0000%
2022-02-17,1000000.00,0.0000%,0.0000%
2022-02-18,1000000.00,0.0000%,0.0000%
2022-02-21,1000000.00,0.0000%,0.0000%
2022-02-22,1000000.00,0.0000%,0.0000%
2022-02-23,1000000.00,0.0000%,0.0000%
2022-02-24,1000000.00,0.0000%,0.0000%
2022-02-25,1000000.00,0.0000%,0.0000%
2022-02-28,1000000.00,0.0000%,0.0000%
2022-03-01,1000000.00,0.0000%,0.0000%
2022-03-02,1000000.00,0.0000%,0.0000%
2022-03-03,1000000.00,0.0000%,0.0000%
2022-03-04,1000000.00,0.0000%,0.0000%
2022-03-07,999719.75,-0.0280%,-0.0280%
2022-03-08,1000889.75,0.0890%,0.1170%
2022-03-09,1005434.75,0.5435%,0.4541%
2022-03-10,1000799.75,0.0800%,-0.4610%
2022-03-11,1002509.75,0.2510%,0.1709%
2022-03-14,1003004.75,0.3005%,0.0494%
2022-03-15,1003319.75,0.3320%,0.0314%
2022-03-16,1011599.75,1.1600%,0.8253%
2022-03-17,1022849.75,2.2850%,1.1121%
2022-03-18,1018214.75,1.8215%,-0.4531%
2022-03-21,1019249.75,1.9250%,0.1016%
2022-03-22,1016279.75,1.6280%,-0.2914%
2022-03-23,1013219.75,1.3220%,-0.3011%
2022-03-24,1010114.75,1.0115%,-0.3064%
2022-03-25,1016009.75,1.6010%,0.5836%
2022-03-28,1022264.75,2.2265%,0.6156%
2022-03-29,1025324.75,2.5325%,0.2993%
2022-03-30,1023434.75,2.3435%,-0.1843%
2022-03-31,1025279.75,2.5280%,0.1803%
2022-04-01,1022264.75,2.2265%,-0.2941%
2022-04-04,1020554.75,2.0555%,-0.1673%
2022-04-06,1023434.75,2.3435%,0.2822%
2022-04-07,1023029.75,2.3030%,-0.0396%
2022-04-08,1030184.75,3.0185%,0.6994%
2022-04-11,1028609.75,2.8610%,-0.1529%
2022-04-12,1023389.75,2.3390%,-0.5075%
2022-04-13,1024784.75,2.4785%,0.1363%
2022-04-14,1014209.75,1.4210%,-1.0319%
2022-04-15,1005794.75,0.5795%,-0.8297%
