日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-01-31,1000000.00,0.0000%,0.0000%
2022-02-01,1000000.00,0.0000%,0.0000%
2022-02-02,1000000.00,0.0000%,0.0000%
2022-02-03,996405.91,-0.3594%,-0.3594%
2022-02-04,984915.05,-1.5085%,-1.1532%
2022-02-08,988779.05,-1.1221%,0.3923%
2022-02-09,1003244.05,0.3244%,1.4629%
2022-02-10,1001196.05,0.1196%,-0.2041%
2022-02-11,1023654.05,2.3654%,2.2431%
2022-02-14,1034359.05,3.4359%,1.0458%
2022-02-15,1040104.50,4.0105%,0.5555%
2022-02-16,1030837.50,3.0838%,-0.8910%
2022-02-17,1022243.50,2.2243%,-0.8337%
2022-02-18,1031767.50,3.1767%,0.9317%
2022-02-21,1045100.50,4.5101%,1.2922%
2022-02-22,1051144.50,5.1145%,0.5783%
2022-02-23,1052689.50,5.2690%,0.1470%
2022-02-24,1059587.50,5.9588%,0.6553%
2022-02-25,1039022.50,3.9023%,-1.9408%
2022-02-28,1045831.09,4.5831%,0.6553%
2022-03-01,1064683.33,6.4683%,1.8026%
2022-03-02,1067635.76,6.7636%,0.2773%
2022-03-03,1072452.76,7.2453%,0.4512%
2022-03-04,1080460.76,8.0461%,0.7467%
2022-03-07,1078772.76,7.8773%,-0.1562%
2022-03-08,1067883.76,6.7884%,-1.0094%
2022-03-09,1068270.20,6.8270%,0.0362%
2022-03-10,1070714.20,7.0714%,0.2288%
2022-03-11,1064304.31,6.4304%,-0.5987%
2022-03-14,1056623.07,5.6623%,-0.7217%
2022-03-15,1057084.87,5.7085%,0.0437%
2022-03-16,1073535.87,7.3536%,1.5563%
2022-03-17,1087297.87,8.7298%,1.2819%
2022-03-18,1083981.87,8.3982%,-0.3050%
2022-03-21,1079096.33,7.9096%,-0.4507%
2022-03-22,1079419.33,7.9419%,0.0299%
2022-03-23,1069423.72,6.9424%,-0.9260%
2022-03-24,1070815.72,7.0816%,0.1302%
2022-03-25,1091959.72,9.1960%,1.9746%
2022-03-28,1102785.40,10.2785%,0.9914%
2022-03-29,1124598.91,12.4599%,1.9780%
2022-03-30,1119509.24,11.9509%,-0.4526%
2022-03-31,1133334.24,13.3334%,1.2349%
2022-04-01,1130833.24,13.0833%,-0.2207%
2022-04-04,1139478.24,13.9478%,0.7645%
2022-04-06,1141439.24,14.1439%,0.1721%
2022-04-07,1134377.24,13.4377%,-0.6187%
2022-04-08,1160774.24,16.0774%,2.3270%
2022-04-11,1162126.24,16.2126%,0.1165%
2022-04-12,1173872.24,17.3872%,1.0107%
2022-04-13,1181407.24,18.1407%,0.6419%
2022-04-14,1181813.24,18.1813%,0.0344%
2022-04-15,1185358.24,18.5358%,0.3000%
