日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-01-31,1000000.00,0.0000%,0.0000%
2022-02-01,1000000.00,0.0000%,0.0000%
2022-02-02,1000217.08,0.0217%,0.0217%
2022-02-03,1004889.08,0.4889%,0.4671%
2022-02-04,1010521.08,1.0521%,0.5605%
2022-02-08,1015385.08,1.5385%,0.4813%
2022-02-09,1022745.02,2.2745%,0.7248%
2022-02-10,1019449.02,1.9449%,-0.3223%
2022-02-11,1040347.41,4.0347%,2.0500%
2022-02-14,1050237.41,5.0237%,0.9506%
2022-02-15,1054334.41,5.4334%,0.3901%
2022-02-16,1045267.41,4.5267%,-0.8600%
2022-02-17,1039405.41,3.9405%,-0.5608%
2022-02-18,1049833.41,4.9833%,1.0033%
2022-02-21,1059470.41,5.9470%,0.9180%
2022-02-22,1063852.73,6.3853%,0.4136%
2022-02-23,1062056.35,6.2056%,-0.1689%
2022-02-24,1065864.93,6.5865%,0.3586%
2022-02-25,1053553.13,5.3553%,-1.1551%
2022-02-28,1056148.08,5.6148%,0.2463%
2022-03-01,1072521.67,7.2522%,1.5503%
2022-03-02,1074878.43,7.4878%,0.2197%
2022-03-03,1077261.33,7.7261%,0.2217%
2022-03-04,1083498.33,8.3498%,0.5790%
2022-03-07,1080920.60,8.0921%,-0.2379%
2022-03-08,1075037.71,7.5038%,-0.5442%
2022-03-09,1075744.07,7.5744%,0.0657%
2022-03-10,1084096.28,8.4096%,0.7764%
2022-03-11,1083622.22,8.3622%,-0.0437%
2022-03-14,1076990.22,7.6990%,-0.6120%
2022-03-15,1074691.33,7.4691%,-0.2135%
2022-03-16,1084423.33,8.4423%,0.9056%
2022-03-17,1089187.11,8.9187%,0.4393%
2022-03-18,1087200.69,8.7201%,-0.1824%
2022-03-21,1083028.69,8.3029%,-0.3837%
2022-03-22,1084552.59,8.4553%,0.1407%
2022-03-23,1078752.39,7.8752%,-0.5348%
2022-03-24,1076239.88,7.6240%,-0.2329%
2022-03-25,1093023.66,9.3024%,1.5595%
2022-03-28,1100567.20,10.0567%,0.6902%
2022-03-29,1115183.72,11.5184%,1.3281%
2022-03-30,1114791.72,11.4792%,-0.0352%
2022-03-31,1126633.72,12.6634%,1.0623%
2022-04-01,1130969.23,13.0969%,0.3848%
2022-04-04,1139933.59,13.9934%,0.7926%
2022-04-06,1141317.63,14.1318%,0.1214%
2022-04-07,1136890.00,13.6890%,-0.3879%
2022-04-08,1155792.00,15.5792%,1.6626%
2022-04-11,1156321.00,15.6321%,0.0458%
2022-04-12,1168233.00,16.8233%,1.0302%
2022-04-13,1176342.00,17.6342%,0.6941%
2022-04-14,1172069.00,17.2069%,-0.3632%
2022-04-15,1177058.25,17.7058%,0.4257%
