日期,总资产(元),累计收益率,每日收益率
2024-01-02,100000.00,0.0000%,0.0000%
2024-01-03,100000.00,0.0000%,0.0000%
2024-01-04,100000.00,0.0000%,0.0000%
2024-01-05,100000.00,0.0000%,0.0000%
2024-01-08,100000.00,0.0000%,0.0000%
2024-01-09,100000.00,0.0000%,0.0000%
2024-01-10,100000.00,0.0000%,0.0000%
2024-01-11,100000.00,0.0000%,0.0000%
2024-01-12,100000.00,0.0000%,0.0000%
2024-01-15,100000.00,0.0000%,0.0000%
2024-01-16,100000.00,0.0000%,0.0000%
2024-01-17,100000.00,0.0000%,0.0000%
2024-01-18,100000.00,0.0000%,0.0000%
2024-01-19,100000.00,0.0000%,0.0000%
2024-01-22,100000.00,0.0000%,0.0000%
2024-01-23,100000.00,0.0000%,0.0000%
2024-01-24,100000.00,0.0000%,0.0000%
2024-01-25,100000.00,0.0000%,0.0000%
2024-01-26,100000.00,0.0000%,0.0000%
2024-01-29,100000.00,0.0000%,0.0000%
2024-01-30,100000.00,0.0000%,0.0000%
2024-01-31,100000.00,0.0000%,0.0000%
2024-02-01,100000.00,0.0000%,0.0000%
2024-02-02,100000.00,0.0000%,0.0000%
2024-02-05,100000.00,0.0000%,0.0000%
2024-02-06,100000.00,0.0000%,0.0000%
2024-02-07,100000.00,0.0000%,0.0000%
2024-02-08,100000.00,0.0000%,0.0000%
2024-02-19,100000.00,0.0000%,0.0000%
2024-02-20,100000.00,0.0000%,0.0000%
2024-02-21,100000.00,0.0000%,0.0000%
2024-02-22,100000.00,0.0000%,0.0000%
2024-02-23,100000.00,0.0000%,0.0000%
2024-02-26,100000.00,0.0000%,0.0000%
2024-02-27,100000.00,0.0000%,0.0000%
2024-02-28,100000.00,0.0000%,0.0000%
2024-02-29,100000.00,0.0000%,0.0000%
2024-03-01,99877.34,-0.1227%,-0.1227%
2024-03-04,100345.32,0.3453%,0.4686%
2024-03-05,100392.05,0.3921%,0.0466%
2024-03-06,100611.05,0.6111%,0.2181%
2024-03-07,100963.07,0.9631%,0.3499%
2024-03-08,102091.61,2.0916%,1.1178%
2024-03-11,103019.37,3.0194%,0.9088%
2024-03-12,102138.87,2.1389%,-0.8547%
2024-03-13,101658.67,1.6587%,-0.4701%
2024-03-14,101888.94,1.8889%,0.2265%
2024-03-15,104046.83,4.0468%,2.1179%
2024-03-18,105096.60,5.0966%,1.0089%
2024-03-19,105166.22,5.1662%,0.0662%
2024-03-20,105237.20,5.2372%,0.0675%
2024-03-21,105290.55,5.2906%,0.0507%
2024-03-22,105801.18,5.8012%,0.4850%
2024-03-25,103675.09,3.6751%,-2.0095%
2024-03-26,104632.33,4.6323%,0.9233%
2024-03-27,103956.85,3.9569%,-0.6456%
2024-03-28,105270.24,5.2702%,1.2634%
2024-03-29,106572.77,6.5728%,1.2373%
2024-04-01,108022.98,8.0230%,1.3608%
2024-04-02,107542.01,7.5420%,-0.4452%
2024-04-03,107588.23,7.5882%,0.0430%
