日期,总资产(元),累计收益率,每日收益率
2024-08-01,200000.00,0.0000%,0.0000%
2024-08-02,200000.00,0.0000%,0.0000%
2024-08-05,200000.00,0.0000%,0.0000%
2024-08-06,200000.00,0.0000%,0.0000%
2024-08-07,200000.00,0.0000%,0.0000%
2024-08-08,200000.00,0.0000%,0.0000%
2024-08-09,200000.00,0.0000%,0.0000%
2024-08-12,200000.00,0.0000%,0.0000%
2024-08-13,200000.00,0.0000%,0.0000%
2024-08-14,200000.00,0.0000%,0.0000%
2024-08-15,200000.00,0.0000%,0.0000%
2024-08-16,200000.00,0.0000%,0.0000%
2024-08-19,200000.00,0.0000%,0.0000%
2024-08-20,200000.00,0.0000%,0.0000%
2024-08-21,200000.00,0.0000%,0.0000%
2024-08-22,200000.00,0.0000%,0.0000%
2024-08-23,200000.00,0.0000%,0.0000%
2024-08-26,200000.00,0.0000%,0.0000%
2024-08-27,200000.00,0.0000%,0.0000%
2024-08-28,200000.00,0.0000%,0.0000%
2024-08-29,200000.00,0.0000%,0.0000%
2024-08-30,200000.00,0.0000%,0.0000%
2024-09-02,200000.00,0.0000%,0.0000%
2024-09-03,200000.00,0.0000%,0.0000%
2024-09-04,200000.00,0.0000%,0.0000%
2024-09-05,200000.00,0.0000%,0.0000%
2024-09-06,200000.00,0.0000%,0.0000%
2024-09-09,200000.00,0.0000%,0.0000%
2024-09-10,200000.00,0.0000%,0.0000%
2024-09-11,200000.00,0.0000%,0.0000%
2024-09-12,200000.00,0.0000%,0.0000%
2024-09-13,200000.00,0.0000%,0.0000%
2024-09-18,200000.00,0.0000%,0.0000%
2024-09-19,200000.00,0.0000%,0.0000%
2024-09-20,200000.00,0.0000%,0.0000%
2024-09-23,200000.00,0.0000%,0.0000%
2024-09-24,200000.00,0.0000%,0.0000%
2024-09-25,200000.00,0.0000%,0.0000%
2024-09-26,200000.00,0.0000%,0.0000%
2024-09-27,200000.00,0.0000%,0.0000%
2024-09-30,200000.00,0.0000%,0.0000%
2024-10-08,191459.57,-4.2702%,-4.2702%
2024-10-09,182237.57,-8.8812%,-4.8167%
2024-10-10,187497.57,-6.2512%,2.8863%
2024-10-11,186336.57,-6.8317%,-0.6192%
2024-10-14,187757.57,-6.1212%,0.7626%
2024-10-15,184758.57,-7.6207%,-1.5973%
2024-10-16,185592.57,-7.2037%,0.4514%
2024-10-17,182959.57,-8.5202%,-1.4187%
2024-10-18,185502.57,-7.2487%,1.3899%
2024-10-21,184742.57,-7.6287%,-0.4097%
2024-10-22,185792.57,-7.1037%,0.5684%
2024-10-23,186872.57,-6.5637%,0.5813%
2024-10-24,186101.57,-6.9492%,-0.4126%
2024-10-25,185864.57,-7.0677%,-0.1273%
2024-10-28,186285.57,-6.8572%,0.2265%
2024-10-29,185687.57,-7.1562%,-0.3210%
