日期,总资产(元),累计收益率,每日收益率
2024-08-01,1000000.00,0.0000%,0.0000%
2024-08-02,1000000.00,0.0000%,0.0000%
2024-08-05,1000000.00,0.0000%,0.0000%
2024-08-06,1000000.00,0.0000%,0.0000%
2024-08-07,1000000.00,0.0000%,0.0000%
2024-08-08,1000000.00,0.0000%,0.0000%
2024-08-09,1000000.00,0.0000%,0.0000%
2024-08-12,1000000.00,0.0000%,0.0000%
2024-08-13,1000000.00,0.0000%,0.0000%
2024-08-14,1000000.00,0.0000%,0.0000%
2024-08-15,1000000.00,0.0000%,0.0000%
2024-08-16,1000000.00,0.0000%,0.0000%
2024-08-19,1000000.00,0.0000%,0.0000%
2024-08-20,1000000.00,0.0000%,0.0000%
2024-08-21,1000000.00,0.0000%,0.0000%
2024-08-22,1000000.00,0.0000%,0.0000%
2024-08-23,1000000.00,0.0000%,0.0000%
2024-08-26,1000000.00,0.0000%,0.0000%
2024-08-27,1000000.00,0.0000%,0.0000%
2024-08-28,1000000.00,0.0000%,0.0000%
2024-08-29,1000000.00,0.0000%,0.0000%
2024-08-30,1013353.14,1.3353%,1.3353%
2024-09-02,1010650.91,1.0651%,-0.2667%
2024-09-03,1010650.91,1.0651%,0.0000%
2024-09-04,1010650.91,1.0651%,0.0000%
2024-09-05,1010650.91,1.0651%,0.0000%
2024-09-06,1010650.91,1.0651%,0.0000%
2024-09-09,1010650.91,1.0651%,0.0000%
2024-09-10,1010650.91,1.0651%,0.0000%
2024-09-11,1005861.57,0.5862%,-0.4739%
2024-09-12,1013604.57,1.3605%,0.7698%
2024-09-13,1015740.57,1.5741%,0.2107%
2024-09-18,1019211.57,1.9212%,0.3417%
2024-09-19,1017075.57,1.7076%,-0.2096%
2024-09-20,1021525.57,2.1526%,0.4375%
2024-09-23,1025945.21,2.5945%,0.4327%
2024-09-24,1055563.21,5.5563%,2.8869%
2024-09-25,1064031.95,6.4032%,0.8023%
2024-09-26,1064031.95,6.4032%,0.0000%
2024-09-27,1064031.95,6.4032%,0.0000%
2024-09-30,1064031.95,6.4032%,0.0000%
2024-10-08,1064031.95,6.4032%,0.0000%
2024-10-09,1064031.95,6.4032%,0.0000%
2024-10-10,1064031.95,6.4032%,0.0000%
2024-10-11,1064031.95,6.4032%,0.0000%
2024-10-14,1064031.95,6.4032%,0.0000%
2024-10-15,1064031.95,6.4032%,0.0000%
2024-10-16,1064031.95,6.4032%,0.0000%
2024-10-17,1064031.95,6.4032%,0.0000%
2024-10-18,1064031.95,6.4032%,0.0000%
2024-10-21,1064031.95,6.4032%,0.0000%
2024-10-22,1064031.95,6.4032%,0.0000%
2024-10-23,1064031.95,6.4032%,0.0000%
2024-10-24,1064031.95,6.4032%,0.0000%
2024-10-25,1064031.95,6.4032%,0.0000%
2024-10-28,1064031.95,6.4032%,0.0000%
2024-10-29,1064031.95,6.4032%,0.0000%
2024-10-30,1064031.95,6.4032%,0.0000%
2024-10-31,1064031.95,6.4032%,0.0000%
2024-11-01,1064031.95,6.4032%,0.0000%
2024-11-04,1064031.95,6.4032%,0.0000%
2024-11-05,1064031.95,6.4032%,0.0000%
2024-11-06,1064031.95,6.4032%,0.0000%
2024-11-07,1064031.95,6.4032%,0.0000%
2024-11-08,1064031.95,6.4032%,0.0000%
2024-11-11,1064031.95,6.4032%,0.0000%
2024-11-12,1064031.95,6.4032%,0.0000%
2024-11-13,1064031.95,6.4032%,0.0000%
2024-11-14,1064031.95,6.4032%,0.0000%
2024-11-15,1064031.95,6.4032%,0.0000%
2024-11-18,1064031.95,6.4032%,0.0000%
2024-11-19,1064031.95,6.4032%,0.0000%
2024-11-20,1064031.95,6.4032%,0.0000%
2024-11-21,1064031.95,6.4032%,0.0000%
2024-11-22,1064031.95,6.4032%,0.0000%
2024-11-25,1064031.95,6.4032%,0.0000%
2024-11-26,1064031.95,6.4032%,0.0000%
2024-11-27,1064031.95,6.4032%,0.0000%
2024-11-28,1064031.95,6.4032%,0.0000%
2024-11-29,1064031.95,6.4032%,0.0000%
2024-12-02,1064031.95,6.4032%,0.0000%
2024-12-03,1064031.95,6.4032%,0.0000%
2024-12-04,1064031.95,6.4032%,0.0000%
2024-12-05,1064031.95,6.4032%,0.0000%
2024-12-06,1064031.95,6.4032%,0.0000%
2024-12-09,1064031.95,6.4032%,0.0000%
2024-12-10,1064031.95,6.4032%,0.0000%
2024-12-11,1064031.95,6.4032%,0.0000%
2024-12-12,1064031.95,6.4032%,0.0000%
2024-12-13,1064031.95,6.4032%,0.0000%
2024-12-16,1064031.95,6.4032%,0.0000%
2024-12-17,1064031.95,6.4032%,0.0000%
2024-12-18,1064031.95,6.4032%,0.0000%
2024-12-19,1064031.95,6.4032%,0.0000%
2024-12-20,1064031.95,6.4032%,0.0000%
2024-12-23,1064031.95,6.4032%,0.0000%
2024-12-24,1064031.95,6.4032%,0.0000%
2024-12-25,1064031.95,6.4032%,0.0000%
2024-12-26,1064031.95,6.4032%,0.0000%
2024-12-27,1064031.95,6.4032%,0.0000%
2024-12-30,1064031.95,6.4032%,0.0000%
2024-12-31,1064031.95,6.4032%,0.0000%
2025-01-02,1064031.95,6.4032%,0.0000%
2025-01-03,1064031.95,6.4032%,0.0000%
2025-01-06,1064031.95,6.4032%,0.0000%
