日期,总资产(元),累计收益率,每日收益率
2025-01-02,1000000.00,0.0000%,0.0000%
2025-01-03,1000000.00,0.0000%,0.0000%
2025-01-06,990650.37,-0.9350%,-0.9350%
2025-01-07,1011005.98,1.1006%,2.0548%
2025-01-08,1003212.72,0.3213%,-0.7708%
2025-01-09,1002560.72,0.2561%,-0.0650%
2025-01-10,975717.51,-2.4282%,-2.6775%
2025-01-13,968828.62,-3.1171%,-0.7060%
2025-01-14,977607.44,-2.2393%,0.9061%
2025-01-15,961237.96,-3.8762%,-1.6744%
2025-01-16,968407.79,-3.1592%,0.7459%
2025-01-17,974088.08,-2.5912%,0.5866%
2025-01-20,993760.90,-0.6239%,2.0196%
2025-01-21,998830.74,-0.1169%,0.5102%
2025-01-22,983762.50,-1.6237%,-1.5086%
2025-01-23,973828.16,-2.6172%,-1.0098%
2025-01-24,985106.14,-1.4894%,1.1581%
2025-01-27,957364.15,-4.2636%,-2.8161%
2025-02-05,956330.78,-4.3669%,-0.1079%
2025-02-06,974280.74,-2.5719%,1.8770%
2025-02-07,984899.14,-1.5101%,1.0899%
2025-02-10,986971.26,-1.3029%,0.2104%
2025-02-11,982432.63,-1.7567%,-0.4599%
2025-02-12,988279.63,-1.1720%,0.5952%
2025-02-13,979145.63,-2.0854%,-0.9242%
2025-02-14,985967.75,-1.4032%,0.6967%
2025-02-17,980787.76,-1.9212%,-0.5254%
2025-02-18,966168.32,-3.3832%,-1.4906%
2025-02-19,975182.93,-2.4817%,0.9330%
2025-02-20,974251.31,-2.5749%,-0.0955%
2025-02-21,989922.07,-1.0078%,1.6085%
2025-02-24,1004629.55,0.4630%,1.4857%
2025-02-25,990377.04,-0.9623%,-1.4187%
2025-02-26,995520.65,-0.4479%,0.5194%
2025-02-27,993114.53,-0.6885%,-0.2417%
2025-02-28,974522.53,-2.5477%,-1.8721%
2025-03-03,974235.38,-2.5765%,-0.0295%
2025-03-04,969519.77,-3.0480%,-0.4840%
2025-03-05,968384.66,-3.1615%,-0.1171%
2025-03-06,972924.84,-2.7075%,0.4688%
2025-03-07,973592.84,-2.6407%,0.0687%
2025-03-10,977184.87,-2.2815%,0.3689%
2025-03-11,982799.37,-1.7201%,0.5746%
2025-03-12,986830.37,-1.3170%,0.4102%
2025-03-13,992009.37,-0.7991%,0.5248%
2025-03-14,1001855.85,0.1856%,0.9926%
2025-03-17,998865.02,-0.1135%,-0.2985%
2025-03-18,1011347.96,1.1348%,1.2497%
2025-03-19,1012182.96,1.2183%,0.0826%
2025-03-20,1007470.80,0.7471%,-0.4655%
2025-03-21,997234.80,-0.2765%,-1.0160%
2025-03-24,999416.74,-0.0583%,0.2188%
2025-03-25,1008740.21,0.8740%,0.9329%
2025-03-26,1004530.21,0.4530%,-0.4174%
2025-03-27,979648.21,-2.0352%,-2.4770%
2025-03-28,960664.93,-3.9335%,-1.9378%
2025-03-31,952522.23,-4.7478%,-0.8476%
2025-04-01,961116.83,-3.8883%,0.9023%
2025-04-02,959704.83,-4.0295%,-0.1469%
2025-04-03,954426.77,-4.5573%,-0.5500%
2025-04-07,906146.02,-9.3854%,-5.0586%
2025-04-08,905729.86,-9.4270%,-0.0459%
2025-04-09,905249.86,-9.4750%,-0.0530%
2025-04-10,905529.86,-9.4470%,0.0309%
2025-04-11,897479.68,-10.2520%,-0.8890%
2025-04-14,907511.68,-9.2488%,1.1178%
2025-04-15,899571.68,-10.0428%,-0.8749%
2025-04-16,899242.37,-10.0758%,-0.0366%
2025-04-17,894635.19,-10.5365%,-0.5123%
2025-04-18,890876.19,-10.9124%,-0.4202%
2025-04-21,916047.19,-8.3953%,2.8254%
2025-04-22,936939.49,-6.3061%,2.2807%
2025-04-23,922809.48,-7.7191%,-1.5081%
2025-04-24,906699.88,-9.3300%,-1.7457%
