14:15:18 [INFO] mysql: [MySQL] 创建连接池...
14:15:19 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:40 [INFO] mysql: [MySQL] 创建连接池...
14:15:40 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:53 [INFO] mysql: [MySQL] 创建连接池...
14:15:53 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] mysql: [MySQL] 创建连接池...
14:16:15 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] migrate: [迁移] scan_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] backtest_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] schedule_config: enabled=True
14:16:15 [INFO] migrate: [迁移] 全部完成
14:16:15 [INFO] web_app: [App] MySQL 就绪，已恢复扫描数据
14:16:15 [INFO] web_app: [App] 调度器已启动
14:16:15 [INFO] web_app: [调度器] 启动
14:27:41 [DEBUG] strategies: [主力建仓] 002155 验证通过 | 验证通过 | 来源: cache
14:27:41 [DEBUG] strategies: [主力建仓] 601069 验证通过 | 验证通过 | 来源: cache
14:27:41 [DEBUG] strategies: [主力建仓] 600143 验证通过 | 验证通过 | 来源: cache
14:27:41 [DEBUG] strategies: [主力建仓] 002402 验证通过 | 验证通过 | 来源: cache
14:27:41 [DEBUG] strategies: [主力建仓] 300611 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 002155 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 002155 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 601069 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 601069 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 600143 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 600143 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 002402 验证通过 | 验证通过 | 来源: cache
14:27:56 [DEBUG] strategies: [主力建仓] 002402 验证通过 | 验证通过 | 来源: cache
